Trial,Gamma,Epsilon,Epsilon Decay,Start Location,Desination,Deadline,Successful?
Trial 29,0.7,0.4,0.97,"(1, 5)","(4, 3)",25,No
Trial 30,0.7,0.4,0.97,"(4, 4)","(2, 6)",20,No
Trial 31,0.7,0.4,0.97,"(3, 2)","(5, 4)",20,No
Trial 32,0.7,0.4,0.97,"(4, 1)","(5, 4)",20,No
Trial 33,0.7,0.4,0.97,"(3, 2)","(7, 6)",40,No
Trial 34,0.7,0.4,0.97,"(7, 4)","(6, 1)",20,No
Trial 35,0.7,0.4,0.97,"(5, 2)","(1, 5)",35,No
Trial 36,0.7,0.4,0.97,"(3, 5)","(7, 1)",40,No
Trial 37,0.7,0.4,0.97,"(8, 3)","(5, 5)",25,No
Trial 38,0.7,0.4,0.97,"(5, 3)","(2, 1)",25,No
Trial 39,0.7,0.4,0.97,"(1, 6)","(6, 5)",30,No
Trial 40,0.7,0.4,0.97,"(3, 2)","(8, 2)",25,Yes
Trial 41,0.7,0.4,0.97,"(7, 2)","(3, 3)",25,No
Trial 42,0.7,0.4,0.97,"(5, 1)","(7, 6)",35,No
Trial 43,0.7,0.4,0.97,"(4, 1)","(6, 4)",25,No
Trial 44,0.7,0.4,0.97,"(5, 5)","(5, 1)",20,Yes
Trial 45,0.7,0.4,0.97,"(1, 3)","(4, 2)",20,No
Trial 46,0.7,0.4,0.97,"(2, 5)","(7, 5)",25,Yes
Trial 47,0.7,0.4,0.97,"(7, 4)","(2, 3)",30,No
Trial 48,0.7,0.4,0.97,"(8, 4)","(1, 5)",40,No
Trial 49,0.7,0.4,0.97,"(4, 1)","(1, 4)",30,No
Trial 50,0.7,0.4,0.97,"(2, 5)","(6, 2)",35,No
Trial 51,0.7,0.4,0.97,"(1, 6)","(7, 1)",55,No
Trial 52,0.7,0.4,0.97,"(8, 6)","(2, 4)",40,No
Trial 53,0.7,0.4,0.97,"(3, 5)","(8, 3)",35,No
Trial 54,0.7,0.4,0.97,"(2, 4)","(8, 1)",45,No
Trial 55,0.7,0.4,0.97,"(5, 6)","(7, 4)",20,No
Trial 56,0.7,0.4,0.97,"(8, 5)","(1, 5)",35,Yes
Trial 57,0.7,0.4,0.97,"(7, 2)","(3, 4)",30,No
Trial 58,0.7,0.4,0.97,"(8, 3)","(4, 3)",20,No
Trial 59,0.7,0.4,0.97,"(7, 3)","(3, 2)",25,No
Trial 60,0.7,0.4,0.97,"(6, 6)","(3, 1)",40,No
Trial 61,0.7,0.4,0.97,"(3, 4)","(5, 2)",20,No
Trial 62,0.7,0.4,0.97,"(7, 2)","(8, 6)",25,No
Trial 63,0.7,0.4,0.97,"(5, 5)","(8, 6)",20,No
Trial 64,0.7,0.4,0.97,"(7, 2)","(4, 4)",25,No
Trial 65,0.7,0.4,0.97,"(3, 6)","(7, 6)",20,Yes
Trial 66,0.7,0.4,0.97,"(4, 5)","(1, 2)",30,No
Trial 67,0.7,0.4,0.97,"(8, 6)","(6, 1)",35,No
Trial 68,0.7,0.4,0.97,"(8, 5)","(1, 4)",40,No
Trial 69,0.7,0.4,0.97,"(6, 2)","(1, 1)",30,No
Trial 70,0.7,0.4,0.97,"(8, 5)","(2, 3)",40,No
Trial 71,0.7,0.4,0.97,"(1, 4)","(4, 1)",30,No
Trial 72,0.7,0.4,0.97,"(1, 2)","(4, 5)",30,No
Trial 73,0.7,0.4,0.97,"(8, 3)","(5, 1)",25,No
Trial 74,0.7,0.4,0.97,"(2, 3)","(5, 2)",20,No
Trial 75,0.7,0.4,0.97,"(6, 6)","(5, 3)",20,No
Trial 76,0.7,0.4,0.97,"(1, 5)","(4, 1)",35,No
Trial 77,0.7,0.4,0.97,"(6, 4)","(2, 3)",25,No
Trial 78,0.7,0.4,0.97,"(8, 4)","(5, 2)",25,No
Trial 79,0.7,0.4,0.97,"(8, 5)","(2, 5)",30,Yes
Trial 80,0.7,0.4,0.97,"(8, 5)","(1, 4)",40,No
Trial 81,0.7,0.4,0.97,"(2, 1)","(8, 4)",45,No
Trial 82,0.7,0.4,0.97,"(4, 6)","(1, 4)",25,No
Trial 83,0.7,0.4,0.97,"(5, 1)","(3, 4)",25,No
Trial 84,0.7,0.4,0.97,"(8, 2)","(3, 1)",30,No
Trial 85,0.7,0.4,0.97,"(3, 5)","(8, 2)",40,No
Trial 86,0.7,0.4,0.97,"(8, 2)","(4, 2)",20,No
Trial 87,0.7,0.4,0.97,"(2, 3)","(5, 6)",30,No
Trial 88,0.7,0.4,0.97,"(8, 2)","(1, 5)",50,No
Trial 89,0.7,0.4,0.97,"(6, 4)","(2, 4)",20,No
Trial 90,0.7,0.4,0.97,"(7, 1)","(5, 5)",30,No
Trial 91,0.7,0.4,0.97,"(2, 6)","(3, 1)",30,No
Trial 92,0.7,0.4,0.97,"(7, 3)","(4, 2)",20,No
Trial 93,0.7,0.4,0.97,"(7, 5)","(4, 4)",20,No
Trial 94,0.7,0.4,0.97,"(5, 5)","(2, 4)",20,No
